player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
256790,/player/256790/jamal-musiala/240002,24,2,9/22/2023,Jamal Musiala,Jamal Musiala,"CAM, CM, LM",86,93,134500000,79000,20,2/26/2003,184,72,21,FC Bayern MÃ¼nchen,19,Bundesliga,1,CAM,42,,6/3/2020,2026,21,Germany,1337,RES,14,Right,4,5,3,Medium/Medium,Lean (170-185),Yes,248800000,"#Dribbler, #Acrobat","Technical +, Flair, First Touch, Trickster",85,75,76,91,63,61,67,79,49,82,70,94,69,51,77,89,84,86,93,86,92,73,65,78,53,75,59,65,81,82,55,84,64,63,68,6,9,8,8,11,,77+3,77+3,77+3,84,84,84,84,84,85+3,85+3,85+3,83+3,81+3,81+3,81+3,83+3,75+3,73+3,73+3,73+3,75+3,73+3,65+3,65+3,65+3,73+3,17+3
251854,/player/251854/pedro-gonzalez-lopez/240002,24,2,9/22/2023,Pedro Gonzalez Lopez,Pedro Gonzalez Lopez,CM,86,92,105000000,165000,20,11/25/2002,174,60,241,FC Barcelona,53,La Liga,1,SUB,8,,8/4/2020,2026,45,Spain,1362,LCM,26,Right,4,4,3,High/High,Lean (170-185),Yes,236300000,"#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete midfielder","Tiki Taka +, Pinged Pass, Long Ball Pass, Technical, First Touch, Relentless",78,69,82,88,70,74,68,72,50,88,56,87,79,62,86,88,81,76,88,87,90,68,73,87,73,68,62,73,79,88,53,87,68,77,65,12,7,11,8,8,,75+3,75+3,75+3,82,81,81,81,82,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,78+3,79+3,79+3,79+3,78+3,76+3,71+3,71+3,71+3,76+3,17+3
252371,/player/252371/jude-bellingham/240002,24,2,9/22/2023,Jude Bellingham,Jude Victor William Bellingham,"CM, CAM",86,91,100500000,175000,20,6/29/2003,186,75,243,Real Madrid,53,La Liga,1,CAM,5,,7/1/2023,2029,14,England,1318,LCM,10,Right,4,4,3,High/High,Lean (185+),Yes,213600000,"#Dribbler, #Engine","Relentless +, Intercept, Slide Tackle, Technical, Flair",76,78,80,85,78,82,66,81,69,87,71,87,73,56,86,86,77,75,81,87,79,78,79,93,75,76,85,82,83,84,57,81,77,79,77,14,11,10,5,8,,80+3,80+3,80+3,82,83,83,83,82,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,81+3,83+3,83+3,83+3,81+3,80+3,79+3,79+3,79+3,80+3,18+3
246669,/player/246669/bukayo-saka/240002,24,2,9/22/2023,Bukayo Saka,Bukayo Saka,"RW, RM",86,90,99000000,150000,21,9/5/2001,178,65,1,Arsenal,13,Premier League,1,RW,7,,9/14/2018,2027,14,England,1318,RW,7,Left,3,3,2,High/Medium,Lean (170-185),Yes,195500000,#Dribbler,"Technical, Flair",85,81,79,87,60,70,83,83,45,81,79,89,81,69,69,87,88,82,85,85,86,78,70,84,63,79,68,62,82,83,82,80,60,62,60,7,8,13,9,13,,78+2,78+2,78+2,85,83,83,83,85,84+2,84+2,84+2,84+2,80+2,80+2,80+2,84+2,75+2,72+2,72+2,72+2,75+2,72+2,64+2,64+2,64+2,72+2,18+2
256630,/player/256630/florian-wirtz/240002,24,2,9/22/2023,Florian Wirtz,Florian Richard Wirtz,"CAM, CM",85,91,83500000,65000,20,5/3/2003,177,71,32,Bayer 04 Leverkusen,19,Bundesliga,1,LF,27,,1/31/2020,2027,21,Germany,1337,CAM,9,Right,4,4,3,High/Medium,Normal (170-185),Yes,158700000,"#Dribbler, #Playmaker, #Acrobat, #Complete midfielder","Chip Shot, Pinged Pass, Technical, Flair, First Touch, Trivela",74,76,83,87,52,63,77,78,39,88,73,87,80,64,81,89,78,70,86,85,85,74,59,83,53,75,63,45,80,88,60,83,59,57,44,14,14,13,6,10,,75+3,75+3,75+3,83,82,82,82,83,84+3,84+3,84+3,83+3,82+3,82+3,82+3,83+3,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3,19+3
264240,/player/264240/pablo-martin-paez-gavira/240002,24,2,9/22/2023,Gavi,Pablo Martín Páez Gavira,"CM, LW",83,90,68500000,60000,18,8/5/2004,173,70,241,FC Barcelona,53,La Liga,1,LW,6,,7/1/2020,2026,45,Spain,1362,LW,9,Right,3,3,3,High/High,Normal (170-185),Yes,154100000,"#Dribbler, #Acrobat","Tiki Taka, Slide Tackle, Rapid, Relentless",76,66,78,85,68,70,69,71,42,84,49,86,74,47,82,85,77,75,86,86,90,56,62,84,58,70,85,79,81,83,51,74,59,78,72,8,10,11,7,13,,72+3,72+3,72+3,80,79,79,79,80,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,78+3,79+3,79+3,79+3,78+3,75+3,70+3,70+3,70+3,75+3,18+3
248243,/player/248243/eduardo-camavinga/240002,24,2,9/22/2023,Eduardo Camavinga,Eduardo Celmi Camavinga,"CDM, CM, LB",82,89,56500000,110000,20,11/10/2002,182,68,243,Real Madrid,53,La Liga,1,LCM,12,,9/1/2021,2027,18,France,1335,SUB,21,Left,3,4,3,High/High,Lean (170-185),Yes,127100000,,"Jockey, Block, Bruiser, Technical, Flair",79,66,80,82,76,80,76,62,64,85,59,80,72,59,84,86,78,79,81,79,79,73,81,81,80,69,78,77,73,77,62,82,75,80,79,12,6,8,12,12,,73+3,73+3,73+3,78,77,77,77,78,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,80+3,81+3,81+3,81+3,80+3,79+3,78+3,78+3,78+3,79+3,18+3
251517,/player/251517/josko-gvardiol/240002,24,2,9/22/2023,Joško Gvardiol,Joško Gvardiol,"CB, LB",82,88,44500000,95000,21,1/23/2002,185,80,10,Manchester City,13,Premier League,1,SUB,24,,8/5/2023,2028,10,Croatia,1328,LCB,4,Left,4,3,3,High/High,Normal (185+),Yes,91200000,,"Block +, Power Header, Incisive Pass, Long Ball Pass, Jockey",78,54,69,74,82,83,61,42,78,76,54,75,59,59,74,76,80,76,68,79,67,76,90,79,83,56,86,82,58,65,61,75,81,84,84,5,8,6,9,11,,67+3,67+3,67+3,68,69,69,69,68,69+3,69+3,69+3,71+3,73+3,73+3,73+3,71+3,77+3,79+3,79+3,79+3,77+3,79+3,82+3,82+3,82+3,79+3,16+3
252145,/player/252145/nuno-alexandre-tavares-mendes/240002,24,2,9/22/2023,Nuno Mendes,Nuno Alexandre Tavares Mendes,"LB, LWB",82,87,43500000,63000,21,6/19/2002,176,70,73,Paris Saint Germain,16,Ligue 1,1,SUB,25,,8/31/2021,2026,38,Portugal,1354,SUB,19,Left,4,3,2,High/Medium,Normal (170-185),Yes,83700000,,"Incisive Pass, Whipped Cross, Rapid, Quick Step",89,58,75,80,77,76,79,45,70,79,54,78,73,59,72,80,90,88,82,80,84,80,84,81,73,63,74,77,77,72,45,80,76,79,78,7,8,8,12,15,,72+2,72+2,72+2,76,75,75,75,76,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,80+2,77+2,77+2,77+2,80+2,80+2,77+2,77+2,77+2,80+2,18+2
263578,/player/263578/alejandro-balde-martinez/240002,24,2,9/22/2023,Balde,Alejandro Balde Martínez,"LB, RB",81,89,53000000,70000,19,10/18/2003,175,69,241,FC Barcelona,53,La Liga,1,LB,3,,1/1/2021,2024,45,Spain,1362,SUB,17,Left,4,3,2,High/Medium,Lean (170-185),No,119300000,#Speedster,"Jockey, Anticipate, Quick Step",91,48,73,78,75,64,79,51,66,80,32,77,56,28,70,80,90,91,81,78,74,53,79,75,63,39,47,75,63,72,41,64,72,80,79,5,8,7,10,13,,66+2,66+2,66+2,74,71,71,71,74,73+2,73+2,73+2,76+2,74+2,74+2,74+2,76+2,79+2,74+2,74+2,74+2,79+2,79+2,73+2,73+2,73+2,79+2,16+2
